x,y,,g,id,date
-87.725726,41.931170,,14.9373958333,AlwU84b68NqU3tS6nSqnsA,2018-05
-87.725720,41.930954,,13.4266666667,NoE855z1H5G2ItJIcBQx4g,2018-05
-87.725719,41.926336,,26.7941666667,XP0OBWlPBe1EMRT9IqoS_w,2018-05
-87.725718,41.930864,,15.8213541667,r8tRgsZFOgRnpInkKS0evw,2018-05
-87.725715,41.924559,,3.14166666667,vw0ZnGK1kq-bzcMl8GEJbw,2018-05
-87.725715,41.930774,,17.396875,36kIqYoIgYBFKZXHQz2PVg,2018-05
-87.725714,41.922659,,31.990625,oLjsqFconZa-_4xD4lmbHg,2018-07
-87.725710,41.930594,,14.745,FD321aBkuBxyFolXB1arpQ,2018-05
-87.725708,41.930504,,17.3821875,S2z3zuEU3HIDR7qhJH7D1w,2018-05
-87.725703,41.930325,,17.8882291667,_Wm0lIJqpCEERz5VGVxahA,2018-05
-87.725700,41.930235,,17.6036458333,6i8_QCB5whWO_2ZMCMM3cA,2018-05
-87.725696,41.930091,,19.8333333333,duhcNxYrljd4G9kqNpxR3g,2018-05
-87.725693,41.929928,,25.5823958333,3z9w2ZdAwlBMb7nPGAGtjQ,2018-05
-87.725691,41.929811,,24.1175,4-C1YE0zuUIyo7cNmU_Edg,2018-05
-87.725690,41.929721,,25.5661458333,LOd8GgzBUniEpVU8B-TjOw,2018-05
-87.725687,41.929541,,13.1878125,nYjkaLLl0bdeIqc6nN96Iw,2018-05
-87.725686,41.929452,,13.0254166667,asdpiWJRbvIwzmZwjWkJcg,2018-05
-87.725683,41.929272,,21.2807291667,XtKRqPwsTSQsmItq2iF6vA,2018-05
-87.725682,41.929182,,20.1792708333,AXFWCrjsK0fcNt4wCrsKow,2018-05
-87.725680,41.929002,,17.1632291667,V6lkeKVWZyvQCjLn1VjwXg,2018-05
-87.725678,41.928912,,17.6277083333,T_FO02wwuL_EX-m1OeagMg,2018-05
-87.725676,41.928732,,20.8705208333,HR8yOZCEZvgceQf8plKiNQ,2018-05
-87.725671,41.928558,,37.6788541667,dfp8fj3Enr2BATLNox7RIQ,2018-05
-87.725668,41.928477,,41.2588541667,AuCPklU49B4NGds2JSyCLA,2018-05
-87.725662,41.928297,,34.053125,MdL909JokxTt-UzuBEso8A,2018-05
-87.725661,41.930007,,12.9964583333,0qxtPUVwnI-EOJPrAy1-1A,2018-05
